company_id,period,year,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,capital_allocation_pattern
AMBUJACEM,Dec 2021,2021.0,3302.0,2007.0,6.929052304505437,88.97871193748315,FCF Positive
AMBUJACEM,Mar 2023,2023.0,-13746.0,14481.0,,,FCF Negative
AMBUJACEM,Mar 2023 15,2023.0,,,,,FCF Negative
AMBUJACEM,Mar 2024,2024.0,-3295.0,8941.0,26.963208685162847,-69.54411143942592,FCF Negative
AMBUJACEM,Sep 2024,2024.0,,,,,FCF Negative
AMBUJACEM,TTM,,,,,,FCF Negative
APOLLOHOSP,Mar 2013,2013.0,-290.0,733.0,19.44812947731494,-95.7095709570957,FCF Negative
APOLLOHOSP,Mar 2014,2014.0,17.0,356.0,8.170759697039246,5.396825396825397,FCF Positive
APOLLOHOSP,Mar 2015,2015.0,-289.0,759.0,14.798206278026907,-86.26865671641791,FCF Negative
APOLLOHOSP,Mar 2016,2016.0,-291.0,888.0,14.439024390243901,-123.82978723404254,FCF Negative
APOLLOHOSP,Mar 2017,2017.0,-529.0,1152.0,15.87651598676957,-403.8167938931298,FCF Negative
APOLLOHOSP,Mar 2018,2018.0,132.0,405.0,4.91325973553318,220.00000000000003,FCF Positive
APOLLOHOSP,Mar 2019,2019.0,194.0,711.0,7.393157949464491,97.0,FCF Positive
APOLLOHOSP,Mar 2020,2020.0,1004.0,289.0,2.569574108651196,232.4074074074074,FCF Positive
APOLLOHOSP,Mar 2021,2021.0,385.0,880.0,8.333333333333332,281.021897810219,FCF Positive
APOLLOHOSP,Mar 2022,2022.0,949.0,747.0,5.094455432039828,85.64981949458483,FCF Positive
APOLLOHOSP,Mar 2023,2023.0,520.0,857.0,5.158921261738502,61.61137440758294,FCF Positive
APOLLOHOSP,Mar 2024,2024.0,383.0,1537.0,8.064431502177449,40.962566844919785,FCF Positive
APOLLOHOSP,Sep 2024,2024.0,,,,,FCF Negative
APOLLOHOSP,TTM,,,,,,FCF Negative
ASIANPAINT,Mar 2013,2013.0,724.0,463.0,4.407844630616908,62.41379310344828,FCF Positive
ASIANPAINT,Mar 2014,2014.0,816.0,586.0,4.795417348608838,64.60807600950119,FCF Positive
ASIANPAINT,Mar 2015,2015.0,723.0,465.0,3.4153507161219245,50.665732305536096,FCF Positive
ASIANPAINT,Mar 2016,2016.0,1377.0,866.0,6.068250297806741,76.37271214642263,FCF Positive
ASIANPAINT,Mar 2017,2017.0,846.0,681.0,4.521311910768822,41.964285714285715,FCF Positive
ASIANPAINT,Mar 2018,2018.0,557.0,1556.0,9.248142644873699,26.549094375595807,FCF Positive
ASIANPAINT,Mar 2019,2019.0,1552.0,918.0,4.771309771309771,70.28985507246377,FCF Positive
ASIANPAINT,Mar 2020,2020.0,2520.0,518.0,2.5629607639404286,90.84354722422493,FCF Positive
ASIANPAINT,Mar 2021,2021.0,3142.0,541.0,2.491594897066274,97.97318366074212,FCF Positive
ASIANPAINT,Mar 2022,2022.0,669.0,317.0,1.089309645716642,21.68557536466775,FCF Positive
ASIANPAINT,Mar 2023,2023.0,2911.0,1282.0,3.7171271999768045,69.39213349225268,FCF Positive
ASIANPAINT,Mar 2024,2024.0,3556.0,2548.0,7.17847584166784,63.97984886649874,FCF Positive
ASIANPAINT,Sep 2024,2024.0,,,,,FCF Negative
ASIANPAINT,TTM,,,,,,FCF Negative
ATGL,Mar 2018,2018.0,,,,,FCF Negative
ATGL,Mar 2019,2019.0,,,,,FCF Negative
ATGL,Mar 2020,2020.0,,,,,FCF Negative
ATGL,Mar 2021,2021.0,,,,,FCF Negative
ATGL,Mar 2022,2022.0,,,,,FCF Negative
ATGL,Mar 2023,2023.0,,,,,FCF Negative
ATGL,Mar 2024,2024.0,,,,,FCF Negative
ATGL,Sep 2024,2024.0,,,,,FCF Negative
ATGL,TTM,,,,,,FCF Negative
AXISBANK,Mar 2013,2013.0,-8366.0,10939.0,40.2420630541147,-161.53697625024134,FCF Negative
AXISBANK,Mar 2014,2014.0,298.0,14166.0,46.23217257922392,4.792537793502734,FCF Positive
AXISBANK,Mar 2015,2015.0,-23134.0,7972.0,22.469629921925645,-314.4060886110356,FCF Negative
AXISBANK,Mar 2016,2016.0,-43706.0,9211.0,22.47243095540158,-531.4445525291828,FCF Negative
AXISBANK,Mar 2017,2017.0,19751.0,12458.0,27.96910780836065,536.8578418048382,FCF Positive
AXISBANK,Mar 2018,2018.0,-48397.0,10007.0,21.858890345128877,-17535.144927536232,FCF Negative
AXISBANK,Mar 2019,2019.0,18451.0,18674.0,33.96137198559634,394.50502458841135,FCF Positive
